"รหัสงานย่อย (Sub Dept ID)","รหัสฝ่าย (Department ID)","โค้ด (Code)","ชื่องาน/แผนก"
"sub-04-01","dept-04-academic","ACD-CUR","งานพัฒนาหลักสูตรการเรียนการสอน"
"sub-04-04","dept-04-academic","ACD-DVE","งานอาชีวศึกษาระบบทวิภาคี"
"sub-04-02","dept-04-academic","ACD-EVA","งานวัดผลและประเมินผล"
"sub-04-03","dept-04-academic","ACD-LIB","งานวิทยบริการและห้องสมุด"
"sub-04-05","dept-04-academic","ACD-REG","งานทะเบียน"
"sub-02-01","dept-02-planning","PLN-BGT","งานวางแผนและงบประมาณ"
"sub-02-03","dept-02-planning","PLN-COP","งานความร่วมมือ"
"sub-02-02","dept-02-planning","PLN-DIG","งานศูนย์ข้อมูลสารสนเทศและดิจิทัล"
"sub-02-05","dept-02-planning","PLN-QA","งานประกันคุณภาพและมาตรฐานการศึกษา"
"sub-02-04","dept-02-planning","PLN-RND","งานวิจัย พัฒนา นวัตกรรมและสิ่งประดิษฐ์"
"sub-01-04","dept-01-resource","RES-ACC","งานการบัญชี"
"sub-01-06","dept-01-resource","RES-BLD","งานอาคารสถานที่"
"sub-01-03","dept-01-resource","RES-FIN","งานการเงิน"
"sub-01-01","dept-01-resource","RES-GEN","งานบริหารงานทั่วไป"
"sub-01-02","dept-01-resource","RES-HR","งานบริหารและพัฒนาทรัพยากรบุคคล"
"sub-01-08","dept-01-resource","RES-PR","งานประชาสัมพันธ์"
"sub-01-05","dept-01-resource","RES-SUP","งานพัสดุ"
"sub-01-07","dept-01-resource","RES-VEH","งานยานพาหนะ"
"sub-03-01","dept-03-student","STD-ACT","งานกิจกรรมนักเรียนนักศึกษา"
"sub-03-02","dept-03-student","STD-ADV","งานครูที่ปรึกษา"
"sub-03-03","dept-03-student","STD-DIS","งานปกครองและสวัสดิการนักเรียนนักศึกษา"
"sub-03-04","dept-03-student","STD-GUD","งานแนะแนวอาชีพและการมีงานทำ"
"sub-03-05","dept-03-student","STD-SPJ","งานโครงการพิเศษและการบริการชุมชน"
